GeneId,Chromosome,Start,End,Length,GeneName,Annotation,GeneBiotype,log2FoldChange,Foldchange,pval,FDR,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
ENSG00000223972,chr1,11869,14409,1735,DDX11L1,DEAD/H-box helicase 11 like 1 [Source:HGNC Symbol;Acc:HGNC:37102],transcribed_unprocessed_pseudogene,-0.515,0.7,0.294620396,0.56007612,1.655410337,1.329494276,0.523177175,1.666631932,1.15596772,1.953987714,0.275434704,0.384159675,0.779622264,0.484641614,0.508670521,1.518088885
ENSG00000227232,chr1,14404,29570,1351,WASH7P,"WASP family homolog 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:38034]",unprocessed_pseudogene,0.666,1.587,0.008677745,0.098581136,5.309425838,10.37005535,7.278986783,8.90177526,10.26929462,4.712558605,5.021386533,5.008303908,11.77229618,11.11824879,9.014772008,12.31987518
ENSG00000278267,chr1,17369,17436,68,MIR6859-1,microRNA 6859-1 [Source:HGNC Symbol;Acc:HGNC:50039],miRNA,1.255,2.387,0.00133819,0.038540328,0.807517238,1.022687905,1.069101184,0.352933821,0.806489107,0.252868998,0.317809274,0.441072219,2.182942338,1.31138319,0.904303148,1.576476919
ENSG00000238009,chr1,89295,133723,3726,RP11-34P13.7,novel transcript,lincRNA,1.019,2.027,0.018520643,0.146096893,0.585449997,0.143176307,0.750645512,0.764689945,0.618308315,0.988487902,0.254247419,0.455300355,1.091471169,2.109616436,0.536929994,1.08017863
ENSG00000268903,chr1,135141,135895,755,RP11-34P13.15,novel pseudogene,processed_pseudogene,1.693,3.233,1.13E-05,0.002220091,3.775143086,2.495358488,1.933480864,2.960722608,5.027115432,2.298809075,1.080551532,3.215558759,12.52593103,17.21903145,5.425818889,3.707640162
ENSG00000269981,chr1,137682,137965,284,RP11-34P13.16,novel pseudogene,processed_pseudogene,1.251,2.38,9.72E-07,0.000387916,19.48135336,19.36970892,12.4197712,10.86251871,21.26442945,20.71226977,6.928242179,14.56961137,54.91139476,45.21421173,27.27039181,26.82930165
ENSG00000239906,chr1,139790,140339,323,RP11-34P13.14,novel transcript,antisense,1.115,2.166,0.004321137,0.069728612,2.543679299,2.740803585,1.069101184,0.509793297,1.290382571,2.390761438,0.911053253,3.087505534,4.261935041,2.850833022,3.306358386,5.430087167
ENSG00000241860,chr1,141474,173862,6195,RP11-34P13.13,novel transcript,processed_transcript,0.562,1.476,0.121112095,0.36307458,1.615034475,0.920419114,1.251075853,0.725475076,0.779606136,1.770082988,0.317809274,0.825231894,1.143445986,1.225858199,1.865125243,1.751641021
ENSG00000279928,chr1,182393,184158,718,FO538757.3,DEAD/H-box helicase 11 (DDX11) pseudogene,protein_coding,0.271,1.206,0.596237773,0.790718577,1.110336202,1.247679244,0.500430341,3.196011822,2.285052469,2.43673762,0.550869409,0.526441036,2.208929747,1.111824879,0.395632627,3.036177771
ENSG00000279457,chr1,184923,200322,1982,FO538757.2,"WAS protein family homolog 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:53981]",protein_coding,0.634,1.552,0.018655411,0.14662094,11.30524133,13.70401792,13.80732805,14.31342718,13.11888947,7.746986584,6.46212191,5.990045299,23.18076864,12.11604034,12.40590881,19.61837944
ENSG00000228463,chr1,257864,297502,3954,AP006222.2,ribosomal protein L23a (RPL23A) pseudogene,lincRNA,0.437,1.354,0.299846818,0.565577493,2.967625849,1.697661922,1.774253028,1.117623766,2.36570138,3.448213613,1.016989678,3.983878108,1.299370439,8.096365782,3.334617859,2.656655549
ENSG00000237094,chr1,365389,501617,4565,RP4-669L17.10,pseudogene similar to part of septin 14 SEPT14,lincRNA,0.374,1.296,0.380193064,0.636497995,1.897665509,1.881745745,2.0927087,0.705867642,0.698957226,3.793034974,1.589046371,3.998106245,2.13096752,1.31138319,2.317276817,4.700236741
ENSG00000250575,chr1,491225,493241,1239,RP4-669L17.8,novel pseudogene,unprocessed_pseudogene,1.418,2.672,3.80E-05,0.004259204,1.009396547,0.838604082,0.409443007,0.549008166,0.591425345,0.528726087,0.190685565,0.412615947,1.559244527,1.767516474,1.384714196,1.226148715
ENSG00000225972,chr1,629062,629433,372,MTND1P23,MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42092],unprocessed_pseudogene,0.183,1.135,0.504760827,0.729311413,9.064380994,12.21089358,9.508176485,13.21541085,15.53835679,15.33305653,5.868877931,6.559170743,9.277504936,9.464765632,13.9036609,17.16608201
ENSG00000225630,chr1,629640,630683,1044,MTND2P28,MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42129],unprocessed_pseudogene,-0.237,0.849,0.340983394,0.60408504,70.43569106,76.78340789,89.32681592,600.6541483,60.35226815,75.24002104,46.3154049,57.60972308,69.5163185,43.64625356,57.05587676,73.48134085
ENSG00000237973,chr1,631074,632616,1543,MIR6723,MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014],unprocessed_pseudogene,0.001,1.001,0.995638746,0.998355243,81.63999274,130.044994,127.9509395,159.2319755,129.1726719,135.3768664,70.61722074,57.35361663,101.8706424,62.11965155,123.2395634,173.120521
ENSG00000229344,chr1,632757,633438,682,RP5-857K21.7,MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028],unprocessed_pseudogene,-0.003,0.998,0.991709373,0.996411343,8.822125822,7.936058141,8.052379128,14.37224948,12.66187897,10.34464084,4.682389974,5.776623257,9.693303476,4.732382816,8.11046886,13.5460239
ENSG00000240409,chr1,633535,633741,207,MTATP8P1,MT-ATP8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44571],unprocessed_pseudogene,0.071,1.051,0.826692176,0.922179606,1.958229302,1.779476954,2.138202367,2.862685436,1.801159005,1.793071079,0.932240538,1.180935296,2.234917155,1.054808218,1.639049456,2.539879481
ENSG00000248527,chr1,633696,634376,681,MTATP6P1,MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575],unprocessed_pseudogene,-0.146,0.904,0.509996329,0.7336032,244.092273,346.1389483,381.3279201,474.9508857,373.7001691,314.4311053,207.3599578,203.0497303,303.9487331,258.912655,254.8721904,307.9092976
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
